AreaCode,Estimated Energy Use (kWh),Estimated Cost of Energy,Total Floor Area
268145009,2244932,180335,7965
268092002,10447079,1006517,45036
268092001,3858280,344562,15914
268092007,1961558,164507,8722
268092003,3181100,262373,12407
268092010,3112758,282201,12779
268092011,7798033,786679,33291
268092009,11242699,1117537,49955
268092012,2995665,270960,12267
268144015,1479353,120138,5316
268144014,9695795,953605,42832
268145011,1696131,137215,6012
268144002,6964838,653603,28952
268144001,4292179,416465,18076
268145010,4212438,409843,17856
268147003,4476129,380473,16923
268144010,11087049,1045107,46210
268144011,13729281,1298208,57482
268144009,13895012,1357761,60988
268145005,8993644,890594,39828
268092013,3180990,299672,13029
268006020,734931,88353,4573
268006031,1103175,133204,7048
268006040,1641260,198141,10750
268006029,847443,99211,4845
268006028,1109465,122448,6268
268006027,966053,114411,5527
268006032,1102392,117834,6172
268006030,1274206,108559,6291
268006002,2782671,229782,12899
268006001,2469471,211698,11497
268007001,1672081,165995,7999
268007002,2020660,164034,8295
268007012,1634732,143795,6238
268007008,2766412,222627,9193
268006003,2155575,173689,7615
268006004,2158484,175240,7265
268006010,1225983,107563,6358
268006011,1222246,113432,6065
268006024,982131,110890,5704
268006039,1046762,126724,6619
268006038,1543936,180436,9326
268006025,1158403,134911,6665
268006005,2407785,195351,7872
268006019,2606591,210756,8077
268006037,2826007,227192,9278
268006006,1964842,157727,6618
268006036,3024999,243923,10109
268006007,1827652,148754,9033
268006009,1463142,118596,7972
268006012,1703207,138643,8869
268006026,1327909,156913,7636
268006023,909613,107193,5219
268006022,723128,83948,4168
268006021,931295,112244,5622
268007007,1802592,144815,5752
268007011,2676787,216599,8559
268007003,2404516,195752,7782
268007004,2003020,168885,6534
268006014,2002315,175272,9154
268006008,1682558,140502,9111
268006015,1895838,166912,8611
268006016,1455635,128432,6729
268006035,1125247,135903,7172
268006033,804387,95797,5150
268006034,1538789,182156,9619
268007010,2049594,170826,6931
268007009,937965,91564,3506
268007005,1880075,151006,6110
268007006,1884132,151852,5990
268036012,1750910,142606,5617
268006013,1614076,141257,8114
268006017,2169530,200356,10437
268033005,1805381,146584,6125
268033006,1867968,150702,6977
268006018,2245499,187608,7073
268035011,2122396,172830,6805
268035009,2391447,192263,7834
268035012,1455148,126687,6202
268036010,1563306,127842,5585
268036011,1214123,113224,5881
268036008,1491620,164462,7767
268036009,1154700,139127,5951
